,Date,Team,Affected Player,Season,Injury Part,Injury Duration,7_day_distance_avg,28_day_distance_avg,Acute-Chronic Workload Ratio,foot,knee,lower leg,upper leg,back,arm,hand,upper body,core and hip,head and neck,foot_count,knee_count,lower leg_count,upper leg_count,back_count,arm_count,hand_count,upper body_count,core and hip_count,head and neck_count,Total Duration,Total num. of inj
47,2013-12-13,Warriors,Jermaine O'Neal,2013-14,hand,53,0.4728571428571429,0.3525,1.3414387031408308,22,231,11,12,2,0,58,44,5,0,4,13,4,1,1,0,2,1,2,0,385,28
48,2013-12-14,Cavaliers,Tyler Zeller,2013-14,foot,3,0.012857142857142857,0.07464285714285714,0.1722488038277512,2,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,1,12,3
49,2013-12-18,Knicks,Pablo Prigioni,2013-14,foot,35,1.2528571428571431,0.7042857142857143,1.7789046653144016,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2
50,2013-12-18,Pistons,Rodney Stuckey,2013-14,upper body,3,1.0628571428571427,0.9417857142857142,1.1285551763367463,7,1,0,0,0,0,55,6,0,0,1,1,0,0,0,0,2,2,0,0,69,6
51,2013-12-18,Knicks,Amar'e Stoudemire,2013-14,knee,2,0.8985714285714285,0.5957142857142858,1.5083932853717024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2013-12-18,Spurs,Tony Parker,2013-14,lower leg,3,1.2314285714285715,1.0378571428571428,1.1865106675843085,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2
53,2013-12-18,Wizards,Glen Rice,2013-14,hand,47,0.3971428571428572,0.2003571428571429,1.9821746880570408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2013-12-20,Lakers,Kobe Bryant,2013-14,lower leg,285,1.1228571428571428,0.4153571428571428,2.7033533963886502,257,0,0,0,0,0,42,10,0,0,4,0,1,0,0,0,2,1,0,0,309,8
55,2013-12-20,Cavaliers,Dion Waiters,2013-14,hand,6,0.9985714285714284,0.8653571428571428,1.153941394964919,13,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,23,3
56,2013-12-21,Pelicans,Jason Smith,2013-14,knee,6,0.7757142857142857,0.9035714285714284,0.8584980237154151,14,0,0,0,0,0,0,223,0,0,3,1,0,0,0,0,0,2,0,0,237,6
57,2013-12-21,Magic,E'Twaun Moore,2013-14,upper leg,8,0.35714285714285715,0.7864285714285716,0.4541326067211625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2013-12-23,Heat,Dwyane Wade,2013-14,knee,2,0.9714285714285714,0.8289285714285715,1.1719086600603188,23,14,2,9,0,0,39,61,2,3,4,7,1,1,0,0,5,2,1,1,153,22
59,2013-12-23,Rockets,Patrick Beverley,2013-14,hand,27,0.8371428571428571,1.2453571428571428,0.6722110696874103,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,4,2
60,2013-12-25,Knicks,Raymond Felton,2013-14,upper leg,13,0.2414285714285714,0.5421428571428571,0.4453227931488801,15,0,0,0,0,0,25,0,2,0,4,0,0,1,0,0,1,0,1,0,42,7
61,2013-12-26,Hawks,John Jenkins,2013-14,upper leg,114,0.17714285714285713,0.1435714285714286,1.233830845771144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2013-12-27,Heat,Dwyane Wade,2013-14,knee,1,0.7128571428571429,0.7564285714285715,0.9423984891406988,23,16,2,9,0,0,39,61,2,3,4,8,1,1,0,0,5,2,1,1,155,23
63,2013-12-27,Pelicans,Eric Gordon,2013-14,core and hip,5,0.54,0.9882142857142858,0.5464401879291652,3,136,27,0,0,0,21,4,0,0,1,2,3,0,0,0,2,2,1,0,191,11
64,2013-12-27,Thunder,Russell Westbrook,2013-14,knee,55,0.9857142857142858,1.2328571428571429,0.7995365005793743,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,3
65,2013-12-28,Hawks,Al Horford,2013-14,upper body,112,0.7657142857142857,0.9764285714285716,0.7841989758595463,12,24,0,0,7,0,0,115,0,0,4,1,0,0,1,0,0,2,0,0,158,8
66,2013-12-28,Heat,LeBron James,2013-14,upper leg,2,1.1528571428571428,1.1003571428571433,1.0477117818889967,16,2,0,0,1,0,0,0,0,0,6,1,0,1,1,0,0,0,0,0,19,9
67,2013-12-29,Warriors,Nemanja Nedovic,2013-14,upper leg,39,0.06142857142857142,0.07464285714285714,0.8229665071770336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2013-12-30,Pelicans,Jason Smith,2013-14,knee,8,0.16,0.6896428571428571,0.23200414293112376,14,6,0,0,0,0,0,223,0,0,3,2,0,0,0,0,0,2,0,0,243,7
69,2013-12-30,Heat,Chris Andersen,2013-14,back,3,0.3271428571428571,0.47,0.6960486322188449,8,65,0,0,17,9,76,33,15,0,1,7,0,0,2,1,2,1,1,0,223,15
70,2014-01-02,Cavaliers,Kyrie Irving,2013-14,knee,5,1.5885714285714283,1.1592857142857143,1.3703019100431302,0,0,0,0,0,0,20,19,0,5,0,1,0,0,0,0,1,1,0,1,44,4
71,2014-01-04,Heat,Shane Battier,2013-14,upper leg,11,0.63,0.6121428571428572,1.029171528588098,38,199,9,0,0,0,3,0,0,0,3,3,2,1,0,0,1,0,0,0,249,10
72,2014-01-06,Clippers,Chris Paul,2013-14,upper body,34,0.8228571428571428,1.175,0.7003039513677811,51,45,3,0,0,0,3,0,5,3,3,1,1,0,0,0,1,1,1,1,110,9
73,2014-01-07,Cavaliers,Jarrett Jack,2013-14,back,3,0.9685714285714286,0.9375,1.0331428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2014-01-08,Pacers,Lance Stephenson,2013-14,knee,2,1.2771428571428571,1.009285714285714,1.2653927813163484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2014-01-08,Mavericks,Shawn Marion,2013-14,upper body,28,1.0757142857142856,0.9767857142857144,1.1012797074954297,0,74,16,12,0,0,3,0,0,0,0,2,3,1,0,0,1,1,0,0,105,8
76,2014-01-08,Timberwolves,Luc Mbah a Moute,2013-14,upper leg,2,0.15142857142857144,0.4557142857142857,0.33228840125391856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2014-01-11,Nets,Deron Williams,2013-14,foot,9,0.3428571428571429,0.8499999999999999,0.4033613445378152,33,2,8,0,0,0,13,0,0,0,4,1,3,0,0,0,2,0,0,0,56,10
78,2014-01-13,Mavericks,Shane Larkin,2013-14,foot,2,0.48,0.4085714285714285,1.174825174825175,19,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19,2
79,2014-01-13,Jazz,Gordon Hayward,2013-14,core and hip,8,0.3842857142857143,0.9910714285714286,0.3877477477477477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2014-01-15,Heat,Chris Andersen,2013-14,knee,5,0.4757142857142857,0.4903571428571429,0.9701383831026948,8,65,0,0,20,9,76,33,15,0,1,8,0,0,2,1,2,1,1,0,226,16
81,2014-01-15,Spurs,Danny Green,2013-14,hand,19,0.41571428571428576,0.8039285714285714,0.5171035095513106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2014-01-15,Mavericks,Gal Mekel,2013-14,knee,55,0.2914285714285714,0.1553571428571428,1.8758620689655177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2014-01-18,Rockets,Francisco Garcia,2013-14,knee,4,0.5714285714285714,0.66,0.8658008658008657,18,0,0,69,10,111,5,0,0,0,1,1,0,2,1,1,2,0,0,0,213,8
84,2014-01-20,Heat,Dwyane Wade,2013-14,knee,6,0.5957142857142858,0.8196428571428571,0.7267973856209151,23,17,2,9,0,0,39,61,2,3,4,9,1,1,0,0,5,2,1,1,156,24
85,2014-01-20,Rockets,Omer Asik,2013-14,upper leg,18,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2014-01-21,Jazz,Derrick Favors,2013-14,core and hip,17,0.8171428571428573,0.8260714285714287,0.9891915261565069,0,0,3,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,7,3
87,2014-01-24,Knicks,Andrea Bargnani,2013-14,arm,158,0.79,0.9225,0.8563685636856369,182,8,0,229,4,261,0,0,0,0,3,1,0,4,2,3,0,0,0,0,684,13
88,2014-01-24,Kings,DeMarcus Cousins,2013-14,foot,8,0.97,1.0492857142857142,0.9244383934649422,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2
89,2014-01-24,Spurs,Kawhi Leonard,2013-14,hand,33,0.7057142857142857,0.9160714285714284,0.7703703703703704,0,34,0,2,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,36,6
90,2014-01-25,Hawks,Pero Antic,2013-14,foot,41,0.5828571428571429,0.6,0.9714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2014-01-28,Cavaliers,Anderson Varejao,2013-14,knee,4,0.9657142857142856,1.1753571428571428,0.8216347614706776,312,14,9,0,0,0,3,0,6,5,4,3,1,0,0,0,1,0,2,2,349,13
92,2014-02-01,Knicks,Iman Shumpert,2013-14,upper body,2,0.35714285714285715,0.9217857142857144,0.38744672607516456,0,278,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,278,4
93,2014-02-04,Lakers,Xavier Henry,2013-14,knee,27,0.0,0.0,0.0,19,19,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,38,3
94,2014-02-05,Bucks,Caron Butler,2013-14,foot,13,0.8242857142857142,0.5192857142857142,1.5873452544704263,0,302,5,0,12,0,12,0,0,0,1,6,1,0,2,0,2,0,0,0,331,12
95,2014-02-05,Clippers,JJ Redick,2013-14,back,57,1.24,1.0403571428571428,1.1918983865430828,0,0,0,0,38,0,30,0,0,0,0,0,0,0,4,0,1,0,0,0,68,5
96,2014-02-06,Warriors,Andrew Bogut,2013-14,upper body,18,0.87,0.7442857142857141,1.1689059500959695,285,10,7,10,273,176,26,0,4,4,4,2,1,1,5,1,1,1,1,1,795,18
97,2014-02-06,Warriors,David Lee,2013-14,upper body,4,0.5757142857142857,0.8235714285714286,0.6990459670424978,24,0,11,0,2,0,0,0,4,0,1,0,1,0,1,0,0,1,1,0,41,5
98,2014-02-06,Spurs,Tony Parker,2013-14,back,2,0.9528571428571428,1.0146428571428572,0.9391059486096444,1,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,3
99,2014-02-07,Kings,Marcus Thornton,2013-14,core and hip,2,1.0571428571428572,1.0257142857142858,1.0306406685236769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2014-02-08,Timberwolves,Kevin Martin,2013-14,hand,21,1.1814285714285713,1.0375,1.1387263339070566,229,0,8,0,0,0,75,0,0,0,5,0,1,0,0,0,4,0,0,0,312,10
101,2014-02-10,Warriors,Jermaine O'Neal,2013-14,hand,9,0.6828571428571429,0.17071428571428576,4.0,22,231,11,12,2,0,111,44,5,0,4,13,4,1,1,0,3,1,2,0,438,29
102,2014-02-10,Raptors,Amir Johnson,2013-14,foot,8,0.7328571428571429,0.9314285714285716,0.7868098159509203,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,3
103,2014-02-10,Rockets,Greg Smith,2013-14,knee,9,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2014-02-11,Heat,Dwyane Wade,2013-14,head and neck,7,0.6757142857142858,0.6278571428571428,1.0762229806598411,23,23,2,9,0,0,39,61,2,3,4,9,1,1,0,0,5,2,1,2,162,25
105,2014-02-12,Cavaliers,Anderson Varejao,2013-14,back,6,1.02,0.8392857142857142,1.2153191489361703,312,18,9,0,0,0,3,0,6,5,4,3,1,0,1,0,1,0,2,2,353,14
106,2014-02-12,Clippers,Willie Green,2013-14,core and hip,6,0.4557142857142857,0.3367857142857143,1.3531283138918344,17,0,13,5,3,0,47,0,0,0,2,0,1,1,1,0,1,0,1,0,85,7
107,2014-02-12,Trail Blazers,Joel Freeland,2013-14,knee,63,0.48,0.4446428571428571,1.0795180722891566,0,0,0,0,0,0,4,0,3,0,0,1,0,0,0,0,1,0,1,0,7,3
