,Date,Team,Acquired,Relinquished,Notes
9457,2007-03-03,Pacers,,Marquis Daniels,placed on IL with sore left knee
9458,2007-03-03,Pacers,David Harrison,,activated from IL
9459,2007-03-03,Pacers,Shawne Williams,,activated from IL
9460,2007-03-03,Raptors,P.J. Tucker,,activated from IL
9461,2007-03-03,Spurs,,(William) Tony Parker,placed on IL with strained left hip flexor
9462,2007-03-03,Spurs,Melvin Ely,,activated from IL
9463,2007-03-04,Bulls,,Andre Barrett,placed on IL
9464,2007-03-04,Bulls,P.J. Brown,,activated from IL
9465,2007-03-04,Wizards,,Brendan Haywood,placed on IL with back spasms
9466,2007-03-04,Wizards,Donell Taylor,,activated from IL
9467,2007-03-05,Cavaliers,,Damon Jones,placed on IL
9468,2007-03-05,Cavaliers,Shannon Brown,,activated from IL
9469,2007-03-05,Hawks,,Craig Claxton / Speedy Claxton,placed on IL with knee injury
9470,2007-03-05,Hawks,Esteban Batista,,activated from IL
9471,2007-03-05,Rockets,,Steve Novak,placed on IL
9472,2007-03-05,Rockets,Yao Ming,,activated form IL
9473,2007-03-05,Warriors,,Patrick O'Bryant,placed on IL
9474,2007-03-05,Warriors,Baron Davis,,activated from IL
9475,2007-03-06,Kings,Vitaly Potapenko,,activated from IL
9476,2007-03-06,Mavericks,,Maurice Ager,placed on IL
9477,2007-03-06,Mavericks,Devean George,,activated from IL
9478,2007-03-06,Sonics,,Luke Ridnour,placed on IL with herniated disc
9479,2007-03-06,Sonics,Danny Fortson,,activated from IL
9480,2007-03-06,Spurs,,Robert Horry,placed on IL
9481,2007-03-06,Spurs,(William) Tony Parker,,activated from IL
9482,2007-03-06,Timberwolves,,Trenton Hassell,placed on IL with sprained left ankle
9483,2007-03-06,Timberwolves,Mark Madsen,,activated from IL
9484,2007-03-06,Wizards,Brendan Haywood,,activated from IL
9485,2007-03-07,Grizzlies,Stromile Swift,,activated from IL
9486,2007-03-07,Hawks,,Joe Johnson,placed on IL with bruised right calf (out for season)
9487,2007-03-07,Hawks,,Marvin Williams,placed on IL with bruised lower back
9488,2007-03-07,Hawks,Royal Ivey,,activated from IL
9489,2007-03-07,Hawks,Stanislav Medvedenko,,activated from IL
9490,2007-03-07,Heat,,Jason Kapono,placed on IL with sprained left ankle
9491,2007-03-07,Heat,Dorell Wright,,activated from IL
9492,2007-03-07,Jazz,,C.J. Miles,placed on IL
9493,2007-03-07,Jazz,Ronnie Brewer,,activated from IL
9494,2007-03-07,Nuggets,,J.R. Smith,placed on IL recovering from arthroscopic surgery on left knee
9495,2007-03-07,Pistons,,Ronald Dupree,placed on IL
9496,2007-03-07,Pistons,Rasheed Wallace,,activated from IL
9497,2007-03-07,Rockets,,Iakovos Tsakalidis / Jake Tsakalidis,placed on IL
9498,2007-03-07,Rockets,Steve Novak,,activated from IL
9499,2007-03-07,Suns,,Marcus Banks,placed on IL
9500,2007-03-07,Suns,Boris Diaw,,activated from IL
9501,2007-03-08,Magic,,Travis Diener,placed on IL
9502,2007-03-08,Magic,Grant Hill,,activated from IL
9503,2007-03-08,Spurs,,Melvin Ely,placed on IL
9504,2007-03-08,Spurs,Robert Horry,,activated from IL
9505,2007-03-09,Bobcats,,Ryan Hollins,placed on IL with flu
9506,2007-03-09,Bobcats,Sean May,,activated from IL
9507,2007-03-09,Celtics,,Wally Szczerbiak,placed on IL recovering from surgery on left ankle (out for season)
9508,2007-03-09,Celtics,Allan Ray,,activated from IL
9509,2007-03-09,Clippers,,Paul Davis,placed on IL
9510,2007-03-09,Clippers,Sam Cassell,,activated from IL
9511,2007-03-09,Hawks,,Stanislav Medvedenko,placed on IL
9512,2007-03-09,Hawks,Marvin Williams,,activated from IL
9513,2007-03-09,Nets,,Antoine Wright,placed on IL
9514,2007-03-09,Nets,,Clifford Robinson (R.),placed on IL
9515,2007-03-09,Nets,Antoine Wright,,activated from IL
9516,2007-03-09,Nets,Richard Jefferson,,activated from IL
9517,2007-03-09,Pacers,,Jermaine O'Neal,placed on IL with sprained left knee
9518,2007-03-09,Pacers,Keith McLeod,,activated from IL
9519,2007-03-09,Pacers,Maceo Baston,,activated from IL
9520,2007-03-09,Rockets,,Kirk Snyder,placed on IL
9521,2007-03-09,Rockets,Iakovos Tsakalidis / Jake Tsakalidis,,activated from IL
9522,2007-03-09,Wizards,,Donell Taylor,placed on IL
9523,2007-03-11,Bulls,,Malik Allen,placed on IL with irregular heartbeat
9524,2007-03-11,Bulls,Andre Barrett,,activated from IL
9525,2007-03-11,Clippers,,Yaroslav Korolev,placed on IL
9526,2007-03-11,Clippers,Paul Davis,,activated from IL
9527,2007-03-11,Kings,,Vitaly Potapenko,placed on IL
9528,2007-03-11,Pacers,,Maceo Baston,placed on IL
9529,2007-03-11,Raptors,,Darrick Martin,placed on IL
9530,2007-03-11,Raptors,Anthony Parker,,activated from IL
9531,2007-03-11,Rockets,,Steve Novak,placed on IL
9532,2007-03-11,Rockets,Kirk Snyder,,activated from IL
9533,2007-03-12,Magic,,Keyon Dooling,placed on IL
9534,2007-03-12,Magic,Travis Diener,,activated from IL
9535,2007-03-13,Cavaliers,,LeBron James,placed on IL with back spasms
9536,2007-03-13,Cavaliers,,Scot Pollard,placed on IL
9537,2007-03-13,Cavaliers,Damon Jones,,activated from IL
9538,2007-03-13,Cavaliers,Dwayne Jones,,activated from IL
9539,2007-03-13,Clippers,,Sam Cassell,placed on IL with groin injury
9540,2007-03-13,Clippers,Yaroslav Korolev,,activated from IL
9541,2007-03-14,Bobcats,,Brevin Knight,placed on IL with strained left groin
9542,2007-03-14,Bobcats,Ryan Hollins,,activated from IL
9543,2007-03-14,Cavaliers,,Dwayne Jones,placed on IL
9544,2007-03-14,Cavaliers,LeBron James,,activated from IL
9545,2007-03-14,Magic,,Darko Milicic,placed on IL with strained lower back
9546,2007-03-14,Magic,,Travis Diener,placed on IL
9547,2007-03-14,Magic,Keyon Dooling,,activated from IL
9548,2007-03-14,Magic,Tony Battie,,activated from IL
9549,2007-03-14,Mavericks,,Devean George,placed on IL with sore right knee
9550,2007-03-14,Mavericks,Maurice Ager,,activated from IL
9551,2007-03-14,Pacers,,Jeff Foster,placed on IL with back spasms
9552,2007-03-14,Pacers,Jermaine O'Neal,,activated from IL
9553,2007-03-14,Wizards,,Andray Blatche,placed on IL
9554,2007-03-14,Wizards,Michael Ruffin,,activated from IL
9555,2007-03-15,Lakers,,Brian Cook,placed on IL with sprained left ankle
9556,2007-03-15,Lakers,Luke Walton,,activated from IL
9557,2007-03-15,Nets,,Bernard Robinson,placed on IL
9558,2007-03-15,Nets,Clifford Robinson (R.),,activated from IL
9559,2007-03-15,Spurs,,Fabricio Oberto,placed on IL with bruised left quadricep
9560,2007-03-15,Spurs,Melvin Ely,,activated from IL
9561,2007-03-16,Bobcats,,Sean May,placed on IL with sore right knee
9562,2007-03-16,Bobcats,Othella Harrington,,activated from IL
9563,2007-03-16,Bulls,,Andre Barrett,placed on IL
9564,2007-03-16,Bulls,Malik Allen,,activated from IL
9565,2007-03-16,Clippers,,Paul Davis,placed on IL
9566,2007-03-16,Clippers,Sam Cassell,,activated from IL
9567,2007-03-16,Jazz,,Gordan Giricek,placed on IL with bruised ribs
9568,2007-03-16,Jazz,C.J. Miles,,activated from IL
9569,2007-03-16,Kings,,Kenny Thomas,placed on IL with fractured big toe
9570,2007-03-16,Kings,Vitaly Potapenko,,activated from IL
9571,2007-03-16,Magic,,Charles Outlaw / Bo Outlaw,placed on IL
9572,2007-03-16,Magic,,Pat Garrity,placed on IL
9573,2007-03-16,Magic,Charles Outlaw / Bo Outlaw,,activated from IL
9574,2007-03-16,Magic,Darko Milicic,,activated from IL
9575,2007-03-16,Nets,,Clifford Robinson (R.),placed on IL with sore left knee
9576,2007-03-16,Nets,Bernard Robinson,,activated from IL
9577,2007-03-16,Pacers,,David Harrison,placed on IL
9578,2007-03-16,Pacers,Maceo Baston,,activated from IL
9579,2007-03-16,Pistons,,Chauncey Billups,placed on IL with groin injury
9580,2007-03-16,Pistons,Will Blalock,,activated from IL
9581,2007-03-16,Raptors,,Anthony Parker,placed on IL with sprained right ankle
9582,2007-03-16,Raptors,,Jose Calderon,placed on IL with sprained left ankle
9583,2007-03-16,Raptors,,Pape Sow,placed on IL
9584,2007-03-16,Raptors,Anthony Parker,,activated from IL
9585,2007-03-16,Raptors,Darrick Martin,,activated from IL
9586,2007-03-16,Raptors,Pape Sow,,activated from IL
9587,2007-03-16,Rockets,,Dikembe Mutombo,placed on IL with bruised knee
9588,2007-03-16,Rockets,,Steve Novak,placed on IL
9589,2007-03-16,Rockets,Dikembe Mutombo,,activated from IL
9590,2007-03-16,Rockets,Steve Novak,,activated from IL
9591,2007-03-16,Sonics,,Danny Fortson,placed on IL
9592,2007-03-16,Sonics,Luke Ridnour,,activated from IL
9593,2007-03-16,Spurs,,Melvin Ely,placed on IL
9594,2007-03-16,Spurs,Fabricio Oberto,,activated from IL
9595,2007-03-16,Timberwolves,Bracey Wright,,activated from IL
9596,2007-03-16,Timberwolves,Trenton Hassell,,activated from IL
9597,2007-03-16,Wizards,,Caron Butler,placed on IL with bruised left knee
9598,2007-03-16,Wizards,Andray Blatche,,activated from IL
9599,2007-03-19,Cavaliers,,David Wesley,placed on IL
9600,2007-03-19,Cavaliers,Daniel Gibson,,activated from IL
9601,2007-03-19,Clippers,,Sam Cassell,placed on IL with back spasms
9602,2007-03-19,Clippers,Paul Davis,,activated from IL
9603,2007-03-19,Grizzlies,,Damon Stoudamire,placed on IL with sore right knee
9604,2007-03-19,Grizzlies,Alexander Johnson,,activated from IL
9605,2007-03-19,Hornets,,Bobby Jackson,placed on IL with strained right Achilles tendon
9606,2007-03-19,Hornets,Brandon Bass,,activated from IL
9607,2007-03-19,Pacers,,Orien Greene,placed on IL
9608,2007-03-19,Pacers,,Rawle Marshall,placed on IL
9609,2007-03-19,Pacers,David Harrison,,activated from IL
9610,2007-03-19,Pacers,Jeff Foster,,activated from IL
9611,2007-03-19,Suns,,Jumaine Jones,placed on IL
9612,2007-03-19,Suns,Marcus Banks,,activated from IL
9613,2007-03-21,Bobcats,,Derek Anderson,placed on IL with right knee injury
9614,2007-03-21,Bobcats,Brevin Knight,,activated from IL
9615,2007-03-21,Clippers,,Tim Thomas,placed on IL with left elbow injury
9616,2007-03-21,Clippers,Sam Cassell,,activated from IL
9617,2007-03-21,Heat,,Alonzo Mourning,placed on IL with bruised right knee
9618,2007-03-21,Heat,Wayne Simien,,activated from IL
9619,2007-03-21,Knicks,,Quentin Richardson,placed on IL with sore lower back
9620,2007-03-21,Knicks,David Lee,,activated from IL
9621,2007-03-21,Pacers,,David Harrison,placed on IL with sore left shoulder
9622,2007-03-21,Pacers,Rawle Marshall,,activated from IL
9623,2007-03-21,Pistons,,Will Blalock,placed on IL
9624,2007-03-21,Pistons,Chauncey Billups,,activated from IL
9625,2007-03-21,Raptors,,Andrea Bargnani,placed on IL recovering from appendectomy
9626,2007-03-21,Raptors,,Anthony Parker,placed on IL with sprained right ankle
9627,2007-03-21,Raptors,Jose Calderon,,activated from IL
9628,2007-03-21,Raptors,Pape Sow,,activated from IL
9629,2007-03-21,Sonics,,Ray Allen,placed on IL with bone spurs in left ankle
9630,2007-03-21,Sonics,Danny Fortson,,activated from IL
9631,2007-03-21,Wizards,,Jarvis Hayes,placed on IL with sprained foot
9632,2007-03-21,Wizards,Donell Taylor,,activated from IL
9633,2007-03-23,Cavaliers,,Damon Jones,placed on IL
9634,2007-03-23,Cavaliers,David Wesley,,activated from IL
9635,2007-03-23,Clippers,,Sam Cassell,placed on IL with back spasms
9636,2007-03-23,Clippers,Tim Thomas,,activated from IL
9637,2007-03-23,Hawks,,Lorenzen Wright,placed on IL with flu-like symptoms
9638,2007-03-23,Hawks,Stanislav Medvedenko,,activated from IL
9639,2007-03-23,Knicks,,Randolph Morris,placed on IL
9640,2007-03-23,Nets,,Bernard Robinson,placed on IL
9641,2007-03-23,Nets,Clifford Robinson (R.),,activated from IL
9642,2007-03-23,Pacers,David Harrison,,activated from IL
9643,2007-03-23,Wizards,,Donell Taylor,placed on IL
9644,2007-03-23,Wizards,Jarvis Hayes,,activated from IL
9645,2007-03-24,Grizzlies,,Scott Padgett,placed on IL
9646,2007-03-24,Grizzlies,Damon Stoudamire,,activated from IL
9647,2007-03-25,Blazers,,Luke Schenscher,placed on IL
9648,2007-03-25,Blazers,Raef LaFrentz,,activated from IL
9649,2007-03-25,Bucks,,Andrew Bogut,placed on IL with sprained left foot
9650,2007-03-25,Bucks,,Charlie Villanueva,placed on IL with right shoulder tendinitis
9651,2007-03-25,Bucks,Damir Markota,,activated from IL
9652,2007-03-25,Bucks,Dan Gadzuric,,activated from IL
9653,2007-03-25,Hawks,,Stanislav Medvedenko,placed on IL
9654,2007-03-25,Hawks,Lorenzen Wright,,activated from IL
9655,2007-03-25,Lakers,,Maurice Evans,placed on IL with sore right knee (DNP)
9656,2007-03-25,Lakers,Brian Cook,,activated from IL
9657,2007-03-25,Mavericks,,Maurice Ager,placed on IL
9658,2007-03-25,Mavericks,Devean George,,activated from IL
9659,2007-03-25,Pistons,,Richard Hamilton,placed on IL with flu
9660,2007-03-25,Pistons,Ronald Dupree,,activated from IL
9661,2007-03-25,Rockets,,Dikembe Mutombo,placed on IL with sore left knee
9662,2007-03-25,Rockets,Steve Novak,,activated from IL
9663,2007-03-26,Blazers,Luke Schenscher,,activated from IL
9664,2007-03-26,Grizzlies,,Damon Stoudamire,placed on IL with right knee patella tendinitis
9665,2007-03-26,Grizzlies,Scott Padgett,,activated from IL
9666,2007-03-26,Hawks,,Zaur Pachulia / Zaza Pachulia,placed on IL with illness
9667,2007-03-26,Hawks,Stanislav Medvedenko,,activated from IL
9668,2007-03-26,Heat,,Wayne Simien,placed on IL
9669,2007-03-26,Heat,Alonzo Mourning,,activated from IL
9670,2007-03-26,Knicks,,David Lee,placed on IL with sore right leg (ankle injury per CBC)
9671,2007-03-26,Knicks,Randolph Morris,,activated from IL
9672,2007-03-26,Raptors,,Juan Dixon,placed on IL
9673,2007-03-26,Raptors,,Pape Sow,placed on IL
9674,2007-03-26,Raptors,Anthony Parker,,activated from IL
9675,2007-03-26,Spurs,,Robert Horry,placed on IL with strained stomach muscle
9676,2007-03-26,Spurs,James White,,activated from IL
9677,2007-03-26,Wizards,,Andray Blatche,placed on IL with sprained left knee
9678,2007-03-26,Wizards,Donell Taylor,,activated from IL
9679,2007-03-27,Mavericks,,Pops Mensah-Bonsu,placed on IL
9680,2007-03-27,Mavericks,Maurice Ager,,activated from IL
9681,2007-03-27,Pacers,,David Harrison,placed on IL
9682,2007-03-27,Pacers,Orien Greene,,activated from IL
9683,2007-03-28,76ers,,Willie Green,placed on IL with bruised right knee
9684,2007-03-28,Bobcats,,Jeff McInnis,placed on IL
9685,2007-03-28,Bobcats,Emeka Okafor,,activated from IL
9686,2007-03-28,Cavaliers,,Shannon Brown,placed on IL
9687,2007-03-28,Cavaliers,Scot Pollard,,activated from IL
9688,2007-03-28,Hawks,,Stanislav Medvedenko,placed on IL
9689,2007-03-28,Hawks,Zaur Pachulia / Zaza Pachulia,,activated from IL
9690,2007-03-28,Pacers,,Jermaine O'Neal,placed on IL with sprained left ankle & knee
9691,2007-03-28,Pacers,David Harrison,,activated from IL
9692,2007-03-28,Raptors,,Jorge Garbajosa,placed on IL with surgery on right leg & ankle to repair fractured tibula & displaced ankle joint with torn ligament
9693,2007-03-28,Raptors,Juan Dixon,,activated from IL
9694,2007-03-28,Rockets,,Steve Novak,placed on IL
9695,2007-03-28,Rockets,Dikembe Mutombo,,activated from IL
9696,2007-03-28,Wizards,,Donell Taylor,placed on IL
9697,2007-03-28,Wizards,Caron Butler,,activated from IL
9698,2007-03-29,Blazers,,Ime Udoka,placed on IL with concussion
9699,2007-03-29,Suns,,Sean Marks,placed on IL
9700,2007-03-29,Suns,Marcus Banks,,activated from IL
9701,2007-03-30,Bobcats,,Othella Harrington,placed on IL with left knee injury (out for season)
9702,2007-03-30,Bobcats,,Ryan Hollins,placed on IL
9703,2007-03-30,Bobcats,Derek Anderson,,activated from IL
9704,2007-03-30,Bobcats,Jeff McInnis,,activated from IL
9705,2007-03-30,Celtics,,Paul Pierce,placed on IL with left elbow injury
9706,2007-03-30,Clippers,,Yaroslav Korolev,placed on IL
9707,2007-03-30,Clippers,Sam Cassell,,activated from IL
9708,2007-03-30,Jazz,,Matt Harpring,placed on IL with stomach virus
9709,2007-03-30,Jazz,Gordan Giricek,,activated from IL
9710,2007-03-30,Kings,,Vitaly Potapenko,placed on IL
9711,2007-03-30,Kings,Kenny Thomas,,activated from IL
9712,2007-03-30,Nets,,Eddie House,placed on IL with concussion & partially torn left hip muscle
9713,2007-03-30,Nets,Bernard Robinson,,activated from IL
9714,2007-03-30,Pacers,,David Harrison,placed on IL
9715,2007-03-30,Pacers,Jermaine O'Neal,,activated from IL
9716,2007-03-30,Rockets,,Luther Head,placed on IL with bruised shoulder
9717,2007-03-30,Rockets,Steve Novak,,activated from IL
9718,2007-03-30,Spurs,,James White,placed on IL
9719,2007-03-30,Spurs,Robert Horry,,activated from IL
9720,2007-03-31,Bulls,,Adrian Griffin,placed on IL with back spasms
9721,2007-03-31,Bulls,Andre Barrett,,activated from IL
9722,2007-03-31,Cavaliers,,Ira Newble,placed on IL
9723,2007-03-31,Cavaliers,,Scot Pollard,placed on IL
9724,2007-03-31,Cavaliers,Damon Jones,,activated from IL
9725,2007-03-31,Cavaliers,Shannon Brown,,activated from IL
9726,2007-03-31,Clippers,,Corey Maggette,placed on IL with bruised chest
9727,2007-03-31,Clippers,Yaroslav Korolev,,activated from IL
9728,2007-03-31,Hornets,,Brandon Bass,placed on IL
9729,2007-03-31,Hornets,Bobby Jackson,,activated from IL
9730,2007-04-01,Bobcats,,Derek Anderson,placed on IL with sore right knee
9731,2007-04-01,Bobcats,Ryan Hollins,,activated from IL
9732,2007-04-01,Cavaliers,,LeBron James,placed on IL with right knee tendinitis
9733,2007-04-01,Cavaliers,Scot Pollard,,activated from IL
9734,2007-04-01,Jazz,,C.J. Miles,placed on IL
9735,2007-04-01,Jazz,Matt Harpring,,activated from IL
9736,2007-04-01,Kings,,Corliss Williamson,placed on IL
9737,2007-04-01,Kings,Vitaly Potapenko,,activated from IL
9738,2007-04-01,Lakers,,Aaron McKie,placed on IL
9739,2007-04-01,Lakers,Maurice Evans,,activated from IL
9740,2007-04-01,Pacers,,Jermaine O'Neal,placed on IL with sore left knee
9741,2007-04-01,Pacers,David Harrison,,activated from IL
9742,2007-04-01,Pistons,,Ronald Dupree,placed on IL
9743,2007-04-01,Pistons,Richard Hamilton,,activated from IL
9744,2007-04-01,Spurs,,Robert Horry,placed on IL with abdominal contusion
9745,2007-04-01,Spurs,James White,,activated from IL
9746,2007-04-03,Cavaliers,,David Wesley,placed on IL
9747,2007-04-03,Cavaliers,LeBron James,,activated from IL
9748,2007-04-03,Heat,,Earl Barron,placed on IL
9749,2007-04-03,Heat,Jason Kapono,,activated from IL
9750,2007-04-03,Pacers,,Jeff Foster,placed on IL with back spasms
9751,2007-04-03,Pacers,Jermaine O'Neal,,activated from IL
9752,2007-04-03,Spurs,,Brent Barry,placed on IL with back spasms
9753,2007-04-03,Spurs,Jackie Butler,,activated from IL
9754,2007-04-03,Wizards,,Caron Butler,placed on IL with broken bone below right index finger (out 6-8 weeks)
9755,2007-04-03,Wizards,Mike Hall,,activated from IL
9756,2007-04-04,Blazers,,Zach Randolph,placed on IL recovering from surgery on right hand to remove bone fragments and repair ligaments
9757,2007-04-04,Blazers,Ime Udoka,,activated from IL
9758,2007-04-04,Celtics,,Michael Olowokandi,placed on IL with broken bone in left foot
9759,2007-04-04,Clippers,,Sam Cassell,placed on IL with back spasms
9760,2007-04-04,Clippers,Corey Maggette,,activated from IL
9761,2007-04-04,Hawks,,Josh Childress,placed on IL with stress fracture in right foot (out 4-6 weeks)
9762,2007-04-04,Hawks,Stanislav Medvedenko,,activated from IL
9763,2007-04-04,Hornets,,Cedric Simmons,placed on IL
9764,2007-04-04,Hornets,Brandon Bass,,activated from IL
9765,2007-04-04,Kings,,Kenny Thomas,placed on IL with fractured left big toe (out 4-6 weeks)
9766,2007-04-04,Kings,Corliss Williamson,,activated from IL
9767,2007-04-04,Lakers,,Kwame Brown,placed on IL with sprained left ankle
9768,2007-04-04,Lakers,Aaron McKie,,activated from IL
9769,2007-04-04,Rockets,,Iakovos Tsakalidis / Jake Tsakalidis,placed on IL
9770,2007-04-04,Rockets,Luther Head,,activated from IL
9771,2007-04-05,Spurs,,Melvin Ely,placed on IL with sprained right ankle
9772,2007-04-06,76ers,,Louis Amundson / Lou Amundson,placed on IL
9773,2007-04-06,Cavaliers,,Shannon Brown,placed on IL
9774,2007-04-06,Cavaliers,Ira Newble,,activated from IL
9775,2007-04-06,Hornets,,Desmond Mason,placed on IL with broken nose and cheekbone (out for season)
9776,2007-04-06,Hornets,,Tyson Chandler,placed on IL with left big toe injury
9777,2007-04-06,Hornets,Cedric Simmons,,activated from IL
9778,2007-04-06,Hornets,Marcus Vinicius Viera de Souza,,activated from IL
9779,2007-04-06,Knicks,,Steve Francis,placed on IL with sprained right ankle
9780,2007-04-06,Knicks,David Lee,,activated from IL
9781,2007-04-06,Pacers,,Jamaal Tinsley,placed on IL with sore elbow
9782,2007-04-06,Pacers,Rawle Marshall,,activated from IL
9783,2007-04-06,Rockets,,Tracy McGrady,placed on IL with sore lower back
9784,2007-04-06,Rockets,,Yao Ming,placed on IL with sore lower back
9785,2007-04-06,Rockets,Bonzi Wells,,activated from IL
9786,2007-04-06,Rockets,Iakovos Tsakalidis / Jake Tsakalidis,,activated from IL
9787,2007-04-06,Wizards,,Gilbert Arenas,placed on IL recovering from surgery on left knee
9788,2007-04-06,Wizards,Donell Taylor,,activated from IL
9789,2007-04-07,Clippers,,Yaroslav Korolev,placed on IL
9790,2007-04-07,Jazz,,Andrei Kirilenko,placed on IL with left thumb injury
9791,2007-04-07,Jazz,C.J. Miles,,activated from IL
9792,2007-04-07,Magic,,Charles Outlaw / Bo Outlaw,placed on IL
9793,2007-04-07,Magic,Pat Garrity,,activated from IL
9794,2007-04-07,Mavericks,,Josh Howard,placed on IL with sprained right ankle
9795,2007-04-07,Mavericks,Kevin Willis,,activated from IL
9796,2007-04-07,Wizards,,Calvin Booth,placed on IL with sore left knee
9797,2007-04-07,Wizards,Andray Blatche,,activated from IL
9798,2007-04-08,76ers,,Kyle Korver,placed on IL with sprained wrist
9799,2007-04-08,76ers,Louis Amundson / Lou Amundson,,activated from IL
9800,2007-04-08,Bulls,,Andre Barrett,placed on IL
9801,2007-04-08,Bulls,,Viktor Khryapa,placed on IL
9802,2007-04-08,Bulls,Adrian Griffin,,activated from IL
9803,2007-04-08,Bulls,Andres Nocioni,,activated from IL
9804,2007-04-08,Heat,,Dorell Wright,placed on IL
9805,2007-04-08,Heat,Dwyane Wade,,activated from IL
9806,2007-04-08,Rockets,,Steve Novak,placed on IL
9807,2007-04-08,Rockets,,Vassilis Spanoulis,placed on IL
9808,2007-04-08,Rockets,Tracy McGrady,,activated from IL
9809,2007-04-08,Rockets,Yao Ming,,activated form IL
9810,2007-04-09,Clippers,,Tim Thomas,placed on IL with left wrist injury
9811,2007-04-09,Clippers,Yaroslav Korolev,,activated from IL
9812,2007-04-09,Knicks,,Stephon Marbury,placed on IL with sprained right big toe
9813,2007-04-09,Knicks,Steve Francis,,activated from IL
9814,2007-04-09,Magic,,Pat Garrity,placed on IL
9815,2007-04-09,Magic,Charles Outlaw / Bo Outlaw,,activated from IL
9816,2007-04-09,Mavericks,,Jose Juan Barea / Jose Barea / J.J. Barea,placed on IL
9817,2007-04-09,Mavericks,Josh Howard,,activated from IL
9818,2007-04-09,Rockets,Vassilis Spanoulis,,activated from IL
9819,2007-04-10,Bobcats,,Adam Morrison,placed on IL with sprained left knee
9820,2007-04-10,Bobcats,,Matt Carroll,placed on IL with back injury
9821,2007-04-10,Bobcats,Derek Anderson,,activated from IL
9822,2007-04-10,Bobcats,Othella Harrington,,activated from IL
9823,2007-04-10,Clippers,,Yaroslav Korolev,placed on IL
9824,2007-04-10,Clippers,Tim Thomas,,activated from IL
9825,2007-04-10,Heat,,Gary Payton Sr.,placed on IL with torn left calf muscle (out 2-3 weeks)
9826,2007-04-10,Heat,,Udonis Haslem,placed on IL with groin injury
9827,2007-04-10,Heat,Dorell Wright,,activated from IL
9828,2007-04-10,Heat,Earl Barron,,activated from IL
9829,2007-04-10,Heat,Wayne Simien,,activated from IL
9830,2007-04-10,Pacers,,David Harrison,placed on IL with back injury
9831,2007-04-10,Pacers,Jeff Foster,,activated from IL
9832,2007-04-11,Clippers,,Tim Thomas,placed on IL
9833,2007-04-11,Clippers,Yaroslav Korolev,,activated from IL
9834,2007-04-11,Mavericks,,Dirk Nowitzki,placed on IL for sore left ankle / rest
9835,2007-04-11,Mavericks,,Jerry Stackhouse,placed on IL for knee injury / rest
9836,2007-04-11,Mavericks,Jose Juan Barea / Jose Barea / J.J. Barea,,activated from IL
9837,2007-04-11,Mavericks,Pops Mensah-Bonsu,,activated from IL
9838,2007-04-11,Sonics,,Earl Watson,placed on IL with sprained left ankle
9839,2007-04-11,Spurs,,Jackie Butler,placed on IL
9840,2007-04-11,Spurs,,James White,placed on IL
9841,2007-04-11,Spurs,Brent Barry,,activated from IL
9842,2007-04-11,Spurs,Robert Horry,,activated from IL
9843,2007-04-11,Timberwolves,,Kevin Garnett,placed on IL with right quadricep injury
9844,2007-04-11,Timberwolves,Bracey Wright,,activated from IL
9845,2007-04-11,Wizards,,Mike Hall,placed on IL
9846,2007-04-11,Wizards,Calvin Booth,,activated from IL
9847,2007-04-12,Clippers,,Will Conroy,placed on IL
9848,2007-04-12,Clippers,Sam Cassell,,activated from IL
9849,2007-04-12,Lakers,,Aaron McKie,placed on IL
9850,2007-04-12,Lakers,Vladimir Radmanovic,,activated from IL
9851,2007-04-13,Bulls,,Adrian Griffin,placed on IL with lower back spasms
9852,2007-04-13,Bulls,Viktor Khryapa,,activated from IL
9853,2007-04-13,Heat,,Dorell Wright,placed on IL
9854,2007-04-13,Heat,,Wayne Simien,placed on IL
9855,2007-04-13,Heat,Udonis Haslem,,activated from IL
9856,2007-04-13,Mavericks,,Jason Terry,placed on IL for rest
9857,2007-04-13,Mavericks,Dirk Nowitzki,,activated from IL
9858,2007-04-13,Nuggets,,DerMarr Johnson,placed on IL
9859,2007-04-13,Nuggets,,Jamal Sampson,placed on IL
9860,2007-04-13,Pistons,,Chauncey Billups,placed on IL
9861,2007-04-13,Pistons,,Dale Davis,placed on IL
9862,2007-04-13,Pistons,,Nazr Mohammed,placed on IL
9863,2007-04-13,Pistons,Amir Johnson,,activated from IL
9864,2007-04-13,Pistons,Ronald Dupree,,activated from IL
9865,2007-04-13,Pistons,Will Blalock,,activated from IL
9866,2007-04-13,Spurs,,Francisco Elson,placed on IL with sore left wrist
9867,2007-04-13,Spurs,Melvin Ely,,activated from IL
9868,2007-04-14,76ers,,Kevin Ollie,placed on IL with eye injury
9869,2007-04-14,76ers,Kyle Korver,,activated from IL
9870,2007-04-14,Lakers,,Shammond Williams,placed on IL
9871,2007-04-14,Lakers,Kwame Brown,,activated from IL
9872,2007-04-14,Mavericks,,Erick Dampier,placed on IL with strained right shoulder
9873,2007-04-14,Mavericks,,Maurice Ager,placed on IL
9874,2007-04-14,Mavericks,Jason Terry,,activated from IL
9875,2007-04-14,Mavericks,Jerry Stackhouse,,activated from IL
9876,2007-04-14,Pacers,,Maceo Baston,placed on IL
9877,2007-04-14,Pacers,Jamaal Tinsley,,activated from IL
9878,2007-04-14,Pistons,,Will Blalock,placed on IL
9879,2007-04-14,Pistons,Chauncey Billups,,activated from IL
