,level_0,index,Unnamed: 0,Unnamed: 0.1,Date,Team,Acquired,Relinquished,Notes,Affected Player,Season,Injury Type,Injury Part,Injury Duration,foot,knee,lower leg,upper leg,back,arm,hand,upper body,core and hip,head and neck,foot_count,knee_count,lower leg_count,upper leg_count,back_count,arm_count,hand_count,upper body_count,core and hip_count,head and neck_count,Total Duration,Total num. of inj,days since start,Season Type,Date_adjusted,7_day_back,28_day_back,playoff start date,days_since_start_of_playoffs,player_id,Team_id
58,107,107,107,19020.0,2013-12-18,Knicks,,Amar'e Stoudemire,placed on IL with sore right knee,Amar'e Stoudemire,2013-14,sore right knee,knee,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,Regular Season,12/18/2013,12/11/2013,11/20/2013,04/19/2014,0,2405,1610612752
59,108,108,108,19035.0,2013-12-18,Spurs,,Tony Parker,placed on IL with bruised right shin,Tony Parker,2013-14,bruised right shin,lower leg,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,50,Regular Season,12/18/2013,12/11/2013,11/20/2013,04/19/2014,0,2225,1610612759
60,109,109,109,19038.0,2013-12-18,Wizards,,Glen Rice,placed on IL recovering from surgery on fractured right wrist,Glen Rice,2013-14,L recovering from surgery on fractured right wrist,hand,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,Regular Season,12/18/2013,12/11/2013,11/20/2013,04/19/2014,0,203318,1610612764
61,110,110,110,19046.0,2013-12-20,Lakers,,Kobe Bryant,placed on IL with fractured left tibia (out for season),Kobe Bryant,2013-14,fractured left tibia ,lower leg,285,257,0,0,0,0,0,42,10,0,0,4,0,1,0,0,0,2,1,0,0,309,8,52,Regular Season,12/20/2013,12/13/2013,11/22/2013,04/19/2014,0,977,1610612747
62,111,111,111,19042.0,2013-12-20,Cavaliers,,Dion Waiters,placed on IL with sore right wrist,Dion Waiters,2013-14,sore right wrist,hand,6,13,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,23,3,52,Regular Season,12/20/2013,12/13/2013,11/22/2013,04/19/2014,0,203079,1610612739
63,112,112,112,19055.0,2013-12-21,Pelicans,,Jason Smith,placed on IL with bone bruise in right knee,Jason Smith,2013-14,bone bruise in right knee,knee,6,14,0,0,0,0,0,0,223,0,0,3,1,0,0,0,0,0,2,0,0,237,6,53,Regular Season,12/21/2013,12/14/2013,11/23/2013,04/19/2014,0,201160,1610612740
64,113,113,113,19053.0,2013-12-21,Knicks,,Kenyon Martin,placed on IL with strained abdominal muscle,Kenyon Martin,2013-14,strained abdominal muscle,core and hip,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,Regular Season,12/21/2013,12/14/2013,11/23/2013,04/19/2014,0,2030,1610612752
65,114,114,114,19054.0,2013-12-21,Magic,,E'Twaun Moore,placed on IL with bruised thigh,E'Twaun Moore,2013-14,bruised thigh,upper leg,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,Regular Season,12/21/2013,12/14/2013,11/23/2013,04/19/2014,0,202734,1610612753
66,115,115,115,19065.0,2013-12-23,Hawks,,Cartier Martin,placed on IL with sprained left ankle,Cartier Martin,2013-14,sprained left ankle,foot,3,0,48,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,48,3,55,Regular Season,12/23/2013,12/16/2013,11/25/2013,04/19/2014,0,201858,1610612737
67,116,116,116,19067.0,2013-12-23,Heat,,Dwyane Wade,placed on IL with sore knee,Dwyane Wade,2013-14,sore knee,knee,2,23,14,2,9,0,0,39,61,2,3,4,7,1,1,0,0,5,2,1,1,153,22,55,Regular Season,12/23/2013,12/16/2013,11/25/2013,04/19/2014,0,2548,1610612748
68,117,117,117,19073.0,2013-12-23,Rockets,,Patrick Beverley,placed on IL with fractured right hand,Patrick Beverley,2013-14,fractured right hand,hand,27,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,4,2,55,Regular Season,12/23/2013,12/16/2013,11/25/2013,04/19/2014,0,201976,1610612745
69,118,118,118,19079.0,2013-12-25,Knicks,,Raymond Felton,placed on IL with strained left hamstring,Raymond Felton,2013-14,strained left hamstring,upper leg,13,15,0,0,0,0,0,25,0,2,0,4,0,0,1,0,0,1,0,1,0,42,7,57,Regular Season,12/25/2013,12/18/2013,11/27/2013,04/19/2014,0,101109,1610612752
70,119,119,119,19085.0,2013-12-26,Hawks,,John Jenkins,placed on IL with leg injury,John Jenkins,2013-14,leg injury,upper leg,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,Regular Season,12/26/2013,12/19/2013,11/28/2013,04/19/2014,0,203098,1610612737
71,120,120,120,19089.0,2013-12-27,Heat,,Dwyane Wade,placed on IL with sore knee,Dwyane Wade,2013-14,sore knee,knee,1,23,16,2,9,0,0,39,61,2,3,4,8,1,1,0,0,5,2,1,1,155,23,59,Regular Season,12/27/2013,12/20/2013,11/29/2013,04/19/2014,0,2548,1610612748
72,121,121,121,19091.0,2013-12-27,Pelicans,,Eric Gordon,placed on IL with bruised right hip,Eric Gordon,2013-14,bruised right hip,core and hip,5,3,136,27,0,0,0,21,4,0,0,1,2,3,0,0,0,2,2,1,0,191,11,59,Regular Season,12/27/2013,12/20/2013,11/29/2013,04/19/2014,0,201569,1610612740
73,122,122,122,19094.0,2013-12-27,Thunder,,Russell Westbrook,placed on IL recovering from arthroscopic surgery on right knee,Russell Westbrook,2013-14,L recovering from arthroscopic surgery on right knee,knee,55,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,3,59,Regular Season,12/27/2013,12/20/2013,11/29/2013,04/19/2014,0,201566,1610612760
74,123,123,123,19098.0,2013-12-28,Hawks,,Al Horford,placed on IL with torn right pectoral muscle (out for season),Al Horford,2013-14,torn right pectoral muscle ,upper body,112,12,24,0,0,7,0,0,115,0,0,4,1,0,0,1,0,0,2,0,0,158,8,60,Regular Season,12/28/2013,12/21/2013,11/30/2013,04/19/2014,0,201143,1610612737
75,124,124,124,19099.0,2013-12-28,Heat,,LeBron James,placed on IL with strained right groin,LeBron James,2013-14,strained right groin,upper leg,2,16,2,0,0,1,0,0,0,0,0,6,1,0,1,1,0,0,0,0,0,19,9,60,Regular Season,12/28/2013,12/21/2013,11/30/2013,04/19/2014,0,2544,1610612748
76,125,125,125,19104.0,2013-12-29,Warriors,,Nemanja Nedovic,placed on IL with strained left hamstring,Nemanja Nedovic,2013-14,strained left hamstring,upper leg,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,Regular Season,12/29/2013,12/22/2013,12/01/2013,04/19/2014,0,203517,1610612744
77,126,126,126,19108.0,2013-12-30,Pelicans,,Jason Smith,placed on IL with bone bruise in right knee,Jason Smith,2013-14,bone bruise in right knee,knee,8,14,6,0,0,0,0,0,223,0,0,3,2,0,0,0,0,0,2,0,0,243,7,62,Regular Season,12/30/2013,12/23/2013,12/02/2013,04/19/2014,0,201160,1610612740
78,127,127,127,19106.0,2013-12-30,Heat,,Chris Andersen,placed on IL with back injury,Chris Andersen,2013-14,back injury,back,3,8,65,0,0,17,9,76,33,15,0,1,7,0,0,2,1,2,1,1,0,223,15,62,Regular Season,12/30/2013,12/23/2013,12/02/2013,04/19/2014,0,2365,1610612748
