,Unnamed: 0,Date,Team,Acquired,Relinquished,Notes,Affected Player,Season,Injury Type,Injury Part,Injury Duration
2003,27675.0,2018-12-29,Jazz,,Ricky Rubio,placed on IL with bruised lower back,Ricky Rubio,2018-19,bruised lower back,back,3
2004,27674.0,2018-12-29,Jazz,,Jae Crowder,placed on IL with left thumb injury,Jae Crowder,2018-19,left thumb injury,hand,3
2005,27682.0,2018-12-30,Blazers,,Maurice Harkless,placed on IL with left knee injury,Maurice Harkless,2018-19,left knee injury,knee,2
2006,27683.0,2018-12-30,Timberwolves,,Derrick Rose,placed on IL with sprained right ankle,Derrick Rose,2018-19,sprained right ankle,foot,9
2007,27686.0,2018-12-31,Magic,,Jonathon Simmons,placed on IL with sprained left ankle,Jonathon Simmons,2018-19,sprained left ankle,foot,4
2008,27691.0,2018-12-31,Rockets,,Eric Gordon,placed on IL with bruised right knee,Eric Gordon,2018-19,bruised right knee,knee,16
2009,27684.0,2018-12-31,Hawks,,Kent Bazemore,placed on IL with sprained right ankle,Kent Bazemore,2018-19,sprained right ankle,foot,30
2010,27703.0,2019-01-02,Celtics,,Kyrie Irving,placed on IL with right eye injury,Kyrie Irving,2018-19,right eye injury,head and neck,5
2011,27713.0,2019-01-02,Wizards,,Markieff Morris,placed on IL with neck injury,Markieff Morris,2018-19,neck injury,head and neck,37
2012,27712.0,2019-01-02,Timberwolves,,Robert Covington,placed on IL with right knee injury (out for season),Robert Covington,2018-19,right knee injury ,knee,272
2013,27708.0,2019-01-02,Hornets,,Cody Zeller,placed on IL with fractured right hand,Cody Zeller,2018-19,fractured right hand,hand,34
2014,27719.0,2019-01-04,Bucks,,Donte DiVincenzo,placed on IL with sore right ankle/heel,Donte DiVincenzo,2018-19,sore right ankle,foot,15
2015,27721.0,2019-01-04,Celtics,,Marcus Morris,placed on IL with neck injury,Marcus Morris,2018-19,neck injury,head and neck,3
2016,27727.0,2019-01-05,Kings,,Iman Shumpert,placed on IL with right index finger injury,Iman Shumpert,2018-19,right index finger injury,hand,5
2017,27728.0,2019-01-05,Mavericks,,J.J. Barea,placed on IL with sore left ankle,J.J. Barea,2018-19,sore left ankle,foot,2
2018,27729.0,2019-01-06,Hawks,,Miles Plumlee,placed on IL with left knee injury (out for season),Miles Plumlee,2018-19,left knee injury ,knee,268
2019,27731.0,2019-01-06,Pacers,,Myles Turner,placed on IL with sore right shoulder,Myles Turner,2018-19,sore right shoulder,upper body,9
2020,27746.0,2019-01-07,Pelicans,,E'Twaun Moore,placed on IL with bruised left quadricep,E'Twaun Moore,2018-19,bruised left quadricep,upper leg,5
2021,27747.0,2019-01-07,Spurs,,Rudy Gay,placed on IL with sprained left wrist,Rudy Gay,2018-19,sprained left wrist,hand,3
